                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     36,                0.96636,                0.75951,                 1.3465,                      1,                0.99822,                  0.995,                0.73707,                 1.0644,                0.76533,                  1.548,             0.00097886,             0.00097886,             0.00097886
                     37,                0.93432,                0.75195,                 1.3649,                      1,                0.99872,                  0.995,                 0.6967,                 1.1426,                0.73531,                 1.5888,               0.000966,               0.000966,               0.000966
                     38,                0.90709,                0.71477,                 1.2629,                      1,                0.99704,                  0.995,                0.77527,                0.85906,                0.67219,                 1.3726,             0.00095314,             0.00095314,             0.00095314
                     39,                0.91018,                0.74974,                 1.3058,                      1,                 0.9974,                  0.995,                0.79306,                0.82645,                0.65887,                 1.3599,             0.00094028,             0.00094028,             0.00094028
                     40,                0.83067,                0.65726,                 1.2396,                      1,                0.99786,                  0.995,                 0.7699,                0.87552,                0.67638,                 1.3694,             0.00092742,             0.00092742,             0.00092742
                     41,                0.95408,                 0.7143,                 1.2498,                      1,                0.99849,                  0.995,                0.78377,                0.86069,                 0.6722,                  1.396,             0.00091456,             0.00091456,             0.00091456
                     42,                0.92869,                0.69216,                 1.3208,                      1,                0.99904,                  0.995,                0.75186,                0.95726,                0.73116,                 1.4351,              0.0009017,              0.0009017,              0.0009017
                     43,                0.89487,                0.68562,                 1.2767,                0.99969,                      1,                  0.995,                0.78445,                0.82039,                0.68575,                  1.325,             0.00088884,             0.00088884,             0.00088884
                     44,                0.75435,                0.62412,                 1.1832,                0.99728,                      1,                  0.995,                0.80384,                0.85975,                0.60469,                 1.3219,             0.00087598,             0.00087598,             0.00087598
                     45,                0.78002,                0.61314,                 1.2216,                0.99736,                      1,                  0.995,                 0.7879,                0.86898,                0.61554,                  1.303,             0.00086312,             0.00086312,             0.00086312
                     46,                 0.7927,                0.59998,                 1.1842,                0.99915,                      1,                  0.995,                0.82482,                 0.7314,                0.64059,                 1.2618,             0.00085025,             0.00085025,             0.00085025
                     47,                 0.8607,                0.65096,                 1.2481,                0.99895,                      1,                  0.995,                0.81341,                0.84913,                0.61096,                 1.3522,             0.00083739,             0.00083739,             0.00083739
                     48,                0.90759,                0.66572,                 1.2724,                0.99815,                      1,                  0.995,                0.80538,                0.80886,                0.61592,                  1.305,             0.00082453,             0.00082453,             0.00082453
                     49,                0.84153,                0.63265,                 1.2238,                 0.9978,                      1,                  0.995,                0.76472,                 0.9115,                0.62309,                   1.36,             0.00081167,             0.00081167,             0.00081167
                     50,                0.87536,                0.63717,                 1.2192,                0.99834,                      1,                  0.995,                0.84486,                 0.7393,                0.55804,                 1.2535,             0.00079881,             0.00079881,             0.00079881
                     51,                0.72085,                0.56223,                 1.1604,                0.99823,                      1,                  0.995,                0.84282,                0.77454,                0.54645,                 1.2656,             0.00078595,             0.00078595,             0.00078595
                     52,                0.74045,                0.59295,                 1.1504,                0.99838,                      1,                  0.995,                0.83759,                0.69855,                 0.5807,                 1.2253,             0.00077309,             0.00077309,             0.00077309
                     53,                 0.7035,                0.61452,                 1.1791,                0.99768,                      1,                  0.995,                0.79373,                0.76957,                 0.5447,                 1.2665,             0.00076023,             0.00076023,             0.00076023
                     54,                0.78828,                0.66481,                 1.2102,                0.99915,                      1,                  0.995,                0.81074,                0.77857,                0.55682,                 1.2745,             0.00074737,             0.00074737,             0.00074737
                     55,                0.78381,                0.61343,                 1.2204,                      1,                0.99998,                  0.995,                0.82935,                0.76754,                0.59651,                 1.2562,             0.00073451,             0.00073451,             0.00073451
                     56,                0.75854,                 0.6005,                 1.1485,                      1,                0.99889,                  0.995,                0.83783,                0.75008,                0.53733,                 1.2397,             0.00072164,             0.00072164,             0.00072164
                     57,                0.70969,                0.56612,                 1.1926,                      1,                0.99922,                  0.995,                0.79038,                0.82793,                0.53942,                 1.3037,             0.00070878,             0.00070878,             0.00070878
                     58,                0.68426,                0.53405,                 1.1132,                0.99956,                      1,                  0.995,                0.80826,                0.77302,                0.52422,                 1.2555,             0.00069592,             0.00069592,             0.00069592
                     59,                0.64084,                0.51496,                 1.0645,                0.99897,                      1,                  0.995,                0.81887,                0.76578,                0.52058,                 1.2389,             0.00068306,             0.00068306,             0.00068306
                     60,                0.76201,                0.56784,                 1.1558,                0.99789,                      1,                  0.995,                 0.8303,                0.73972,                0.53978,                 1.2288,              0.0006702,              0.0006702,              0.0006702
                     61,                0.72769,                0.55104,                 1.1723,                0.99809,                      1,                  0.995,                0.84471,                0.71588,                0.51869,                 1.2311,             0.00065734,             0.00065734,             0.00065734
                     62,                0.82132,                0.59336,                 1.2039,                0.99765,                      1,                  0.995,                0.78654,                0.82367,                0.53077,                 1.2788,             0.00064448,             0.00064448,             0.00064448
                     63,                0.72463,                0.55062,                 1.1756,                0.99759,                      1,                  0.995,                 0.7789,                0.84733,                0.52013,                 1.2963,             0.00063162,             0.00063162,             0.00063162
                     64,                0.77472,                0.54387,                  1.195,                0.99853,                      1,                  0.995,                0.84188,                0.65188,                0.48206,                 1.1678,             0.00061876,             0.00061876,             0.00061876
                     65,                0.67393,                0.52025,                 1.1144,                0.99835,                      1,                  0.995,                0.84524,                0.68361,                0.50976,                 1.1816,              0.0006059,              0.0006059,              0.0006059
