                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 4.3096,                  4.962,                 4.2418,                      0,                      0,                      0,                      0,                   4.03,                 4.4673,                 4.1574,              5.716e-05,              5.716e-05,              5.716e-05
                      2,                 4.2425,                 4.8023,                 4.1917,                      0,                      0,                      0,                      0,                 4.0234,                 4.4581,                 4.1532,             0.00012734,             0.00012734,             0.00012734
                      3,                 4.1949,                 4.2387,                 4.1303,                      0,                      0,                      0,                      0,                 4.0146,                 4.4476,                 4.1473,              0.0001961,              0.0001961,              0.0001961
                      4,                 3.5919,                 3.3801,                 4.2023,                      0,                      0,                      0,                      0,                 4.0034,                 4.4355,                 4.1414,             0.00026345,             0.00026345,             0.00026345
                      5,                  2.958,                 3.0035,                  4.199,                      0,                      0,                      0,                      0,                 3.9916,                 4.4267,                 4.1348,             0.00032938,             0.00032938,             0.00032938
                      6,                 2.6694,                 2.6623,                 4.1094,                      0,                      0,                      0,                      0,                 3.9868,                 4.4217,                 4.1291,              0.0003939,              0.0003939,              0.0003939
                      7,                 2.4942,                 2.3705,                 3.8832,                      0,                      0,                      0,                      0,                 3.9745,                 4.3825,                 4.1179,               0.000457,               0.000457,               0.000457
                      8,                 2.3163,                 2.3056,                 3.6761,                      0,                      0,                      0,                      0,                 3.9871,                 4.3834,                 4.1133,             0.00051869,             0.00051869,             0.00051869
                      9,                 2.1412,                 2.0866,                   3.53,                      0,                      0,                      0,                      0,                 3.9831,                 4.3843,                 4.1066,             0.00057896,             0.00057896,             0.00057896
                     10,                 1.9593,                 2.4306,                 3.3217,                      0,                      0,                      0,                      0,                 3.9894,                  4.397,                  4.104,             0.00063782,             0.00063782,             0.00063782
                     11,                  2.014,                 2.0037,                  3.285,                      0,                      0,                      0,                      0,                 3.9529,                 4.3777,                 4.0778,             0.00069527,             0.00069527,             0.00069527
                     12,                 1.9028,                 1.9429,                 3.2733,                      0,                      0,                      0,                      0,                 3.9062,                 4.3681,                 4.0666,              0.0007513,              0.0007513,              0.0007513
                     13,                 1.9605,                  1.643,                 3.0076,                      0,                      0,                      0,                      0,                  3.917,                 4.3972,                 4.0743,             0.00080591,             0.00080591,             0.00080591
                     14,                 1.8078,                 1.5092,                 2.9121,                      0,                      0,                      0,                      0,                 3.9581,                 4.3714,                 4.0993,             0.00085911,             0.00085911,             0.00085911
                     15,                 1.7192,                 1.4567,                 2.7973,                      0,                      0,                      0,                      0,                 3.9048,                 4.2985,                 4.0834,              0.0009109,              0.0009109,              0.0009109
                     16,                 1.7069,                 1.6406,                 2.7717,                      0,                      0,                      0,                      0,                 3.8553,                 4.2939,                 4.0683,             0.00096127,             0.00096127,             0.00096127
                     17,                 1.6188,                 1.4166,                  2.471,                      0,                      0,                      0,                      0,                 3.7492,                 4.2772,                 3.9758,              0.0010102,              0.0010102,              0.0010102
                     18,                 1.5243,                 1.2791,                 2.4865,                      0,                      0,                      0,                      0,                 3.6892,                 4.3092,                 3.9449,              0.0010578,              0.0010578,              0.0010578
                     19,                 1.5334,                 1.1928,                 2.3069,                      0,                      0,                      0,                      0,                 3.6961,                 4.3331,                 3.9085,              0.0011039,              0.0011039,              0.0011039
                     20,                 1.4863,                 1.2396,                  2.246,                      0,                      0,                      0,                      0,                 3.8162,                 4.2075,                 3.8461,              0.0011486,              0.0011486,              0.0011486
                     21,                 1.5129,                 1.2606,                 2.1832,                      0,                      0,                      0,                      0,                 3.9331,                  4.122,                 3.8064,              0.0011461,              0.0011461,              0.0011461
                     22,                 1.4519,                 1.2307,                 2.0506,                      0,                      0,                      0,                      0,                 3.9479,                 4.2443,                 3.8488,              0.0011319,              0.0011319,              0.0011319
                     23,                 1.4258,                 1.1841,                 2.0284,                      0,                      0,                      0,                      0,                 3.9164,                 4.3162,                  3.853,              0.0011178,              0.0011178,              0.0011178
                     24,                 1.3594,                 1.2355,                 1.9694,                0.00067,                  0.025,                0.00034,                  7e-05,                 3.4293,                 4.3913,                 3.7118,              0.0011036,              0.0011036,              0.0011036
                     25,                  1.347,                 1.1005,                 1.9576,                0.00137,                   0.05,                0.00076,                0.00011,                 3.3516,                 4.5649,                 3.6893,              0.0010895,              0.0010895,              0.0010895
                     26,                 1.3435,                 1.0938,                 1.8043,                0.00324,                  0.125,                0.00205,                0.00073,                 3.1645,                 4.5652,                 3.6111,              0.0010753,              0.0010753,              0.0010753
                     27,                 1.1636,                 1.0287,                 1.6795,                 0.0088,                  0.325,                0.00702,                 0.0033,                 2.8467,                 4.1054,                 3.4894,              0.0010612,              0.0010612,              0.0010612
                     28,                 1.3257,                 1.0163,                 1.7094,                0.99382,                  0.225,                0.29732,                0.19847,                  2.142,                 3.1149,                 3.1714,               0.001047,               0.001047,               0.001047
